Smiles,Molecule Name,Standard Value,Standard Units
Clc1c(OCc2sccn2)ccc(Nc2ncnc3c2cc(NC=2OC[C@@](C)N=2)cc3)c1,VARLITINIB,30000,nM
Clc1c(Nc2c(S(=O)(=O)C(C)C)cccc2)nc(Nc2c(OC(C)C)cc(c(C)c2)C2CCNCC2)nc1,CERITINIB,30000,nM
O=C(O[C@]1C=2[C@@]3(C)[C@@](COC)OC(=O)/C(=C/N(CC=C)CC=C)/C3=C(O)C(=O)C=2[C@]2[C@@](C)(C(=O)CC2)C1)C,SONOLISIB,30000,nM
S(=O)(=O)(N(C)c1c(CNc2c(C(F)(F)F)cnc(Nc3cc4c(NC(=O)C4)cc3)n2)cccn1)C,PF-00562271,30000,nM
Fc1c(-c2cc(F)c3nc(C)n(C(C)C)c3c2)nc(Nc2ncc(CN3CCN(CC)CC3)cc2)nc1,ABEMACICLIB,30000,nM
Clc1c(OCCO)cc2OCCCCCOc3c(C#N)ncc(n3)NC(=O)Nc2c1,,1995.26,nM
Clc1cc(F)c(-c2c(c(C3CCN(C(=O)CO)CC3)[nH]n2)-c2ncncc2)cc1,,10000,nM
O=C(N(CC)CC)Nc1cc2nc(c(-c3occc3)nc2cc1)-c1occc1,,5011.8701,nM
FC(F)(F)c1cc(NC(=O)Nc2ccc(C3=C(N)n4ncc(-c5cn(C)nc5)c4N=C3)cc2)ccc1,,10000,nM
O=C(NC(CN)c1ccccc1)c1ccc(-c2ccncc2)cc1,,316.23001,nM
O=[N+]([O-])c1c(Nc2c(C(=O)N)cccc2)nc(Nc2cc(OC)c(OC)c(OC)c2)nc1,,10000,nM
O=C(OC)c1c(-c2cc3Nc4c(NC(=O)c3cc2)cccc4)cccc1,,10000,nM
O=C1C(c2nc(N3CCN(C)CC3)nc3c2cccc3)=C(c2c3c([nH]c2)cccc3)C(=O)N1,SOTRASTAURIN,10000,nM
O=C(Nc1cc2[nH]cc3c2c(C(=O)NN=C3)c1)C1C(c2ccccc2)C1,,39.810001,nM
FC(F)(F)c1cc(NC(=O)Nc2ccc(C3=Nc4c(NC)ncnc4NCC3)cc2)ccc1,,10000,nM
S(C)c1c(C(=O)N)c(N)n(-c2ncccc2)n1,,10000,nM
O(CCc1ncccc1)c1nc(NN)cc(N2CCOCC2)n1,,10000,nM
FC(F)(F)CNC(=O)c1scc(-c2c3n(nc2)C=C(c2ccc(OCCN4CCCCC4)cc2)C=N3)c1,,100000,nM
Nc1c(-c2n(-c3ccc(C4(N)CCC4)cc3)c3nc(-c4ccccc4)ccc3n2)cccn1,,16,nM
O=C1N(C2CCN(Cc3ccc(-c4c(-c5ccccc5)cc(C#N)cn4)cc3)CC2)c2c(N1)cccc2,,50000,nM
N(c1nc(-c2c(C)nc(N)s2)ccn1)c1ccc(N2CCOCC2)cc1,CYC-116,30000,nM
Ic1cc(F)c(NC=2N(C)C(=O)C(C)=CC=2C(=O)NOCCO)cc1,AZD-8330,30000,nM
Fc1c(Oc2c(-c3c[nH]nc3)cc3n(C)ncc3c2)ccc(NC(=O)C=2C(=O)N(c3ccc(F)cc3)C(C)=CC=2)c1,MERESTINIB,30000,nM
O=C(NCCc1ccncc1)c1sc(-c2nc(NC)ncc2)cc1,,25000,nM
Clc1c(C[C@](NC(=O)c2sc(-c3nc(NC)ncc3)cc2)C)ccc(Cl)c1,,820,nM
Clc1c(OCC)nc(NC(=O)Cc2c(OC)cc(S(=O)(=O)C)c(OC)c2)cc1N,,9500,nM
O(C[C@@](N)Cc1c2c([nH]c1)cccc2)c1cc(/C=C/c2ccncc2)cnc1,,354,nM
Clc1c(CCCO)cc2OCCCCCOc3c(C#N)ncc(n3)NC(=O)Nc2c1,,10000,nM
Clc1c(F)ccc([C@](NC(=O)c2[nH]cc(-c3c(-c4cc(Cl)ccc4)c[nH]n3)c2)CO)c1,,1800,nM
O=C(NCCN(CC)CC)c1cc2nc(c(-c3ccccc3)nc2cc1)-c1ccc(CN2CCC(N3C(=O)Nc4c3cccc4)CC2)cc1,,10000,nM
S(=O)(=O)(N)c1ccc(CCNC(=O)c2sc(-c3nc(NC)ncc3)cc2)cc1,,19000,nM
O=C(NCCN(C)C)c1sc(-c2nc(NC)ncc2)cc1,,7000,nM
Clc1ccc(C(NC(=O)C2(N)CCN(c3ncnc4[nH]ccc34)CC2)C(=O)N)cc1,,105,nM
O(C[C@@](N)Cc1c2c([nH]c1)cccc2)c1cc(c(C#C)nc1)-c1cc2c(cncc2)cc1,,39,nM
Clc1cc2C(c3c(F)cccc3F)=NCc3c(nc(Nc4ccc(C(=O)O)cc4)nc3)-c2cc1,MLN-8054,10000,nM
FC(F)(F)c1[nH]c(-c2nccc(Oc3cc4nc(Nc5ccc(C(F)(F)F)cc5)n(C)c4cc3)c2)nc1,RAF-265,10000,nM
S(Cc1oc(C(C)(C)C)cn1)c1sc(NC(=O)C2CCNCC2)nc1,BMS-387032,10000,nM
Fc1c2C(N)=C(c3[nH]c4c(n3)ccc(N3CCN(C)CC3)c4)C(=O)Nc2ccc1,DOVITINIB,10000,nM
S(=O)(=O)(N)c1ccc(Nc2nn(C(=O)c3c(F)cccc3F)c(N)n2)cc1,JNJ-7706621,10000,nM
Brc1cc(F)c(/N=C/2\N=CNc3c\2cc(OC)c(OCC2CCN(C)CC2)c3)cc1,VANDETANIB,10000,nM
Clc1c(CS(=O)(=O)c2cc3/C(=C/c4c(C)c(C(=O)N5[C@@](CN6CCCC6)CCC5)c(C)[nH]4)/C(=O)Nc3cc2)c(Cl)ccc1,PHA-665752,10000,nM
S(c1nc(Nc2n[nH]c(C)c2)cc(N2CCN(C)CC2)n1)c1ccc(NC(=O)C2CC2)cc1,TOZASERTIB,30000,nM
Fc1ncc(NC(=O)[C@@]2(C)N(C=3N=C(Nc4[nH]nc(C5CC5)c4)c4n(N=3)ccc4)CCC2)cc1,BMS-754807,30000,nM
O=C1N(Cc2ccccc2)C(=O)SN1c1c2c(ccc1)cccc2,TIDEGLUSIB,30000,nM
Fc1cc(NC(=O)Cc2[nH]nc(Nc3ncnc4c3ccc(OCCCN(CCO)CC)c4)c2)ccc1,AZD-1152-HQPA,30000,nM
